,date,ID,value
725,2020-05-02,3,19.1
726,2020-05-03,3,12.62
727,2020-05-04,3,7.13
728,2020-05-05,3,12.0
729,2020-05-06,3,13.45
730,2020-05-07,3,17.28
731,2020-05-08,3,6.37
732,2020-05-09,3,9.18
733,2020-05-10,3,12.81
734,2020-05-11,3,9.31
735,2020-05-12,3,10.82
736,2020-05-13,3,12.54
737,2020-05-14,3,18.64
738,2020-05-15,3,6.47
739,2020-05-16,3,19.07
740,2020-05-17,3,18.39
741,2020-05-18,3,16.66
742,2020-05-19,3,8.38
743,2020-05-20,3,10.96
744,2020-05-21,3,15.38
745,2020-05-22,3,11.11
746,2020-05-23,3,7.15
747,2020-05-24,3,7.36
748,2020-05-25,3,9.9
749,2020-05-26,3,16.38
750,2020-05-27,3,9.93
751,2020-05-28,3,9.56
752,2020-05-29,3,5.47
753,2020-05-30,3,6.39
754,2020-05-31,3,7.19
755,2020-06-01,3,10.76
756,2020-06-02,3,8.96
757,2020-06-03,3,10.63
758,2020-06-04,3,10.01
759,2020-06-05,3,13.89
760,2020-06-06,3,6.16
761,2020-06-07,3,7.7
762,2020-06-08,3,11.5
763,2020-06-09,3,8.92
764,2020-06-10,3,7.39
765,2020-06-11,3,9.12
766,2020-06-12,3,10.58
767,2020-06-13,3,9.19
768,2020-06-14,3,12.03
769,2020-06-15,3,10.24
770,2020-06-16,3,8.54
771,2020-06-17,3,7.81
772,2020-06-18,3,10.52
773,2020-06-19,3,11.43
774,2020-06-20,3,11.78
775,2020-06-21,3,11.84
776,2020-06-22,3,16.67
777,2020-06-23,3,18.05
778,2020-06-24,3,8.57
779,2020-06-25,3,
780,2020-06-26,3,
781,2020-06-27,3,
782,2020-06-28,3,
783,2020-06-29,3,
784,2020-06-30,3,38.33
785,2020-07-01,3,15.07
786,2020-07-02,3,11.75
787,2020-07-03,3,8.38
788,2020-07-04,3,9.43
789,2020-07-05,3,10.22
790,2020-07-06,3,9.5
791,2020-07-07,3,7.95
792,2020-07-08,3,10.62
793,2020-07-09,3,11.13
794,2020-07-10,3,8.3
795,2020-07-11,3,6.22
796,2020-07-12,3,8.7
797,2020-07-13,3,10.38
798,2020-07-14,3,9.77
799,2020-07-15,3,7.6
800,2020-07-16,3,9.54
801,2020-07-17,3,7.57
802,2020-07-18,3,7.08
803,2020-07-19,3,6.37
804,2020-07-20,3,8.26
805,2020-07-21,3,6.66
806,2020-07-22,3,6.29
807,2020-07-23,3,9.51
808,2020-07-24,3,9.9
809,2020-07-25,3,8.24
810,2020-07-26,3,10.67
811,2020-07-27,3,6.82
812,2020-07-28,3,7.55
813,2020-07-29,3,4.2
814,2020-07-30,3,5.89
815,2020-07-31,3,14.71
816,2020-08-01,3,10.11
817,2020-08-02,3,11.03
818,2020-08-03,3,7.57
819,2020-08-04,3,7.52
820,2020-08-05,3,7.76
821,2020-08-06,3,10.15
822,2020-08-07,3,14.08
823,2020-08-08,3,14.76
824,2020-08-09,3,11.4
825,2020-08-10,3,5.65
826,2020-08-11,3,9.07
827,2020-08-12,3,7.89
828,2020-08-13,3,3.83
829,2020-08-14,3,6.99
830,2020-08-15,3,10.31
831,2020-08-16,3,
832,2020-08-17,3,10.13
833,2020-08-18,3,10.19
834,2020-08-19,3,5.75
835,2020-08-20,3,10.2
836,2020-08-21,3,5.78
837,2020-08-22,3,9.35
838,2020-08-23,3,10.75
839,2020-08-24,3,21.29
840,2020-08-25,3,9.54
841,2020-08-26,3,11.67
842,2020-08-27,3,
843,2020-08-28,3,7.14
844,2020-08-29,3,9.63
845,2020-08-30,3,13.08
846,2020-08-31,3,16.09
847,2020-09-01,3,13.1
848,2020-09-02,3,7.46
849,2020-09-03,3,8.01
850,2020-09-04,3,5.17
851,2020-09-05,3,14.75
852,2020-09-06,3,10.42
853,2020-09-07,3,6.1
854,2020-09-08,3,10.5
855,2020-09-09,3,16.35
856,2020-09-10,3,11.51
857,2020-09-11,3,15.12
858,2020-09-12,3,14.38
859,2020-09-13,3,16.2
860,2020-09-14,3,15.59
861,2020-09-15,3,7.71
862,2020-09-16,3,16.09
863,2020-09-17,3,6.66
864,2020-09-18,3,6.82
865,2020-09-19,3,16.11
866,2020-09-20,3,16.94
867,2020-09-21,3,9.9
868,2020-09-22,3,8.82
869,2020-09-23,3,9.82
870,2020-09-24,3,8.98
871,2020-09-25,3,10.9
872,2020-09-26,3,10.3
873,2020-09-27,3,14.12
874,2020-09-28,3,10.32
875,2020-09-29,3,12.73
876,2020-09-30,3,16.05
877,2020-10-01,3,13.51
878,2020-10-02,3,22.42
879,2020-10-03,3,25.85
880,2020-10-04,3,17.52
881,2020-10-05,3,16.53
882,2020-10-06,3,13.22
883,2020-10-07,3,24.67
884,2020-03-01,4,76.9754603970688
885,2020-03-02,4,31.919838029233578
886,2020-03-03,4,32.533744543157844
887,2020-03-04,4,55.0442244566581
888,2020-03-05,4,52.89547688501571
